Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
27-11-2022,0.314,0.32,0.311,0.313,50910598.2,28-11-2022,16108318.84,53498,25538487.6,8082238.369,0
26-11-2022,0.315,0.323,0.311,0.314,66377188,27-11-2022,21086337.98,67347,33557782,10664709.5,0
25-11-2022,0.316,0.317,0.307,0.315,81668650.3,26-11-2022,25530440.73,67451,43038388,13465568.4,0
24-11-2022,0.319,0.321,0.312,0.316,77452139.6,25-11-2022,24485083.31,71156,37809261.8,11958487.76,0
23-11-2022,0.313,0.32,0.309,0.319,130172804.6,24-11-2022,41071372.02,114714,66665110.8,21046110.18,0
22-11-2022,0.305,0.317,0.298,0.313,119265124.3,23-11-2022,36734548.02,119038,60981935.4,18799776.49,0
21-11-2022,0.312,0.313,0.295,0.305,162743368.1,22-11-2022,49635263.83,158825,81070174.2,24738669.25,0
20-11-2022,0.328,0.331,0.31,0.312,87909126.7,21-11-2022,28100507.99,98580,40294161.9,12885473.95,0
19-11-2022,0.326,0.332,0.321,0.328,49281576.1,20-11-2022,16051787.43,61811,23656670.9,7710532.404,0
18-11-2022,0.325,0.333,0.321,0.326,80892957.7,19-11-2022,26509239.62,79339,43184950.9,14161735.32,0
17-11-2022,0.332,0.335,0.319,0.325,75533614.5,18-11-2022,24578226.32,86816,36097898,11750350.43,0
16-11-2022,0.337,0.344,0.324,0.332,102897046.5,17-11-2022,34283678.94,109019,49811530.9,16605381.3,0
15-11-2022,0.332,0.345,0.329,0.337,103952732.7,16-11-2022,35089708.27,117802,53666070.8,18126560.45,0
14-11-2022,0.33,0.342,0.314,0.332,180688535.9,15-11-2022,59145613.82,229414,89418810.9,29278001.71,0
13-11-2022,0.34,0.345,0.325,0.33,146747692.7,14-11-2022,49125239.86,169130,76730591.7,25694784.98,0
12/11/2022,0.356,0.357,0.336,0.34,118816381.9,13-11-2022,40857174.33,135497,60145272.4,20679615.32,0
11/11/2022,0.369,0.374,0.342,0.356,191115121.1,12/11/2022,68232522.26,240769,92789572,33119476.41,0
10/11/2022,0.317,0.379,0.312,0.369,361917813.6,11/11/2022,127859718.5,490420,182522624.7,64507377.51,0
9/11/2022,0.372,0.377,0.31,0.318,397998672,10/11/2022,139680206.3,478567,192542032.4,67693784.84,0
8/11/2022,0.404,0.416,0.346,0.372,379698137.7,9/11/2022,145571726.1,442925,186386469.7,71516688.24,0
7/11/2022,0.402,0.416,0.398,0.404,138637231.9,8/11/2022,56358873.26,144459,70343696.1,28618376.82,0
6/11/2022,0.426,0.431,0.401,0.402,112501696.2,7/11/2022,47162331.74,131491,52169773,21901695.03,0
5/11/2022,0.422,0.438,0.42,0.426,165672546.7,6/11/2022,70942285.97,174930,84508152,36198153.1,0
4/11/2022,0.389,0.426,0.388,0.422,233382097.9,5/11/2022,96007453.62,216798,115864576.1,47629784.08,0
3/11/2022,0.386,0.399,0.384,0.39,90983702.8,4/11/2022,35806496.75,100272,44619392.8,17561570.09,0
2/11/2022,0.401,0.409,0.38,0.386,168322996.7,3/11/2022,66511031.36,177619,81576249.5,32258932.59,0
